Country_Code,Region,IncomeGroup,Country_Name,Air_pollution,Alcohol_consumption,Smoking,Lung_cancer_death_rate,Lung_cancer_death,Population,
KHM,East Asia & Pacific,Lower middle income,Cambodia,25.61429187,3.96,33.4,16.93,2711,16009413,
KIR,East Asia & Pacific,Lower middle income,Kiribati,10.64085586,1.5725,57,11.39,13,114153,
KWT,Middle East & North Africa,High income,Kuwait,60.74515954,0.023,19.175,4.91,199,4056102,
LBN,Middle East & North Africa,Lower middle income,Lebanon,30.62111051,2.215,39.425,20.60,1405,6819373,
LBR,Sub-Saharan Africa,Low income,Liberia,17.98411246,5.875,12.75,3.57,168,4702224,
LKA,South Asia,Lower middle income,Sri Lanka,11.09961724,3.2075,25.775,11.05,2369,21444000,
LSO,Sub-Saharan Africa,Lower middle income,Lesotho,28.02865352,5.995,28.2,11.09,232,2091532,
LTU,Europe & Central Asia,High income,Lithuania,11.85328236,15.0225,37.675,46.99,1329,2828403,
LUX,Europe & Central Asia,High income,Luxembourg,10.3646374,13.515,27,46.11,275,596336,
LVA,Europe & Central Asia,High income,Latvia,13.42645752,11.2475,41.075,48.65,945,1942248,
MAR,Middle East & North Africa,Lower middle income,Morocco,32.59354146,0.8925,19.225,13.88,4937,35581257,
MDA,Europe & Central Asia,Upper middle income,Moldova,16.25103271,15.3125,26.525,38.33,1056,2755158,
MDG,Sub-Saharan Africa,Low income,Madagascar,22.54228288,1.8475,38.525,2.46,630,25570511,
MDV,South Asia,Upper middle income,Maldives,7.795820799,1.82,32.65,4.83,24,496398,
MEX,Latin America & Caribbean,Upper middle income,Mexico,20.92111579,5.76,19.375,7.94,9911,124777326,
MLI,Sub-Saharan Africa,Low income,Mali,38.52660616,1.135,12.9,3.14,582,18512429,
MLT,Middle East & North Africa,High income,Malta,13.90954337,6.6275,30.15,39.96,187,467999,
MMR,East Asia & Pacific,Lower middle income,Myanmar,35.55745292,2.335,57.725,18.48,9863,53382521,
MNE,Europe & Central Asia,Upper middle income,Montenegro,20.78181355,12.995,35.85,85.32,531,622373,
MNG,East Asia & Pacific,Lower middle income,Mongolia,40.11284905,7.2525,32.3,19.17,597,3113788,
MOZ,Sub-Saharan Africa,Low income,Mozambique,21.29869546,1.8625,22.85,2.97,850,28649007,
MRT,Sub-Saharan Africa,Lower middle income,Mauritania,47.42299178,0.11225,16.725,4.97,213,4282582,
MUS,Sub-Saharan Africa,Upper middle income,Mauritius,14.45782732,4.56,23.425,15.18,192,1264613,
MWI,Sub-Saharan Africa,Low income,Malawi,23.56592147,3.03,18.175,2.28,402,17670193,
MYS,East Asia & Pacific,Upper middle income,Malaysia,16.03580871,1.245,26.625,15.50,4821,31104655,
NAM,Sub-Saharan Africa,Upper middle income,Namibia,25.3587654,3.295,21.125,4.37,105,2402623,
NER,Sub-Saharan Africa,Low income,Niger,94.05381768,0.335,8.75,2.92,631,21602388,
NGA,Sub-Saharan Africa,Lower middle income,Nigeria,71.79817438,11.885,6.825,3.13,5971,190873247,
NLD,Europe & Central Asia,High income,Netherlands,12.03440807,10.3875,29.25,74.55,12772,17131296,
NOR,Europe & Central Asia,High income,Norway,6.956519803,8.32,31.425,44.23,2334,5276968,
NPL,South Asia,Lower middle income,Nepal,99.73437372,1.765,49.4,6.12,1691,27632682,
NZL,East Asia & Pacific,High income,New Zealand,5.956001129,10.775,22.625,38.20,1839,4813600,
OMN,Middle East & North Africa,High income,Oman,41.11523827,2.405,7.7,3.19,149,4665926,
PAK,South Asia,Lower middle income,Pakistan,58.28241877,0.18125,30.1,8.39,17437,207906210,
PAN,Latin America & Caribbean,High income,Panama,11.40005433,6.38,9.625,10.15,417,4106764,
PER,Latin America & Caribbean,Upper middle income,Peru,24.78672805,6.9625,20.95,10.30,3239,31444299,
PHL,East Asia & Pacific,Lower middle income,Philippines,18.06979891,6.3525,30.05,12.25,12879,105172921,
PNG,East Asia & Pacific,Lower middle income,Papua New Guinea,12.29441826,1.6125,48.05,10.76,908,8438038,
POL,Europe & Central Asia,High income,Poland,20.87782222,10.6525,33.15,80.26,30479,37974826,
PRT,Europe & Central Asia,High income,Portugal,8.160752248,12.96,25.375,45.69,4706,10300300,
PRY,Latin America & Caribbean,Upper middle income,Paraguay,11.90908085,6.97,21.2,12.03,826,6867058,
